didvote_ssmat1,didvote_ssmat2,didvote_ssmat3,didvote_ssmat4,didvote_ssmat5,didvote_ssmat6,didvote_ssmat7,didvote_ssmat8
.0586813,,.0429284,,.0561137,,.0404096,
.0049437,,.004293,,.0040366,,.0035842,
,.1777455,,.1597745,,.1235193,,.0755691
,.0369727,,.0289762,,.0223144,,.0229144
,.1774888,,.1536275,,.1267636,,.0740926
,.0360805,,.0283619,,.0226362,,.0227467
,.1358617,,.1242397,,.122372,,.077334
,.0282618,,.0224287,,.0197986,,.0202391
,.1899735,,.1538054,,.1275977,,.0842112
,.0368759,,.0286837,,.022361,,.0221708
,.1428273,,.1409457,,.1177845,,.0702647
,.0336233,,.0279227,,.0226789,,.0230004
,.1643109,,.1607869,,.1242774,,.0783745
,.0354371,,.0297918,,.0236895,,.0233936
,.1776685,,.124881,,.1211883,,.0710321
,.0366716,,.0273771,,.0229616,,.0227327
