donate_fsmat1,donate_fsmat2,donate_fsmat3,donate_fsmat4
.43938,.497826,.3419724,.2769482
.2379076,.2738598,.331063,.3597779
-.0257248,-.0282246,-.0140703,-.013515
.017658,.0203871,.0247376,.0269067
.7877893,.7658787,.0115942,.1259335
.2883445,.2671047,.2322583,.6359453
35.74591,43.37423,30.97163,23.94854
42.78405,48.70699,36.55354,27.87855
4478,4621,4609,4492
.6668945,.4890972,.5256035,.7393466
.2741376,.3134756,.3802115,.4138759
-.0427952,-.0271202,-.0241432,-.0354773
.020429,.0234056,.0285064,.0310416
.593435,.7709461,.0134481,.2548187
.254756,.291879,.2626585,.2875778
38.19183,43.36886,33.03651,28.90576
43.51498,48.47881,37.58651,31.17201
4478,4621,4609,4492
.0953489,.0997537,.1257359,.1208694
.0143275,.0161898,.0197257,.0213036
-.0060319,-.0064154,-.0080464,-.0077913
.0010388,.0011807,.0014487,.0015575
.675972,.6108285,.0026543,.0703779
.8236009,.2965507,.6603051,.9780687
52.75026,56.90532,48.15183,38.07696
58.25346,61.11814,50.85255,39.39606
4478,4621,4609,4492
-.09106,-.1582439,-.2093896,-.2932048
.0953447,.1080556,.1305246,.1424933
.0028776,.0062837,.0082026,.0131614
.007098,.0080958,.009813,.0107732
.5371273,.8453581,.0058581,.2186864
.5623882,.9497529,.432305,.4824212
35.82065,42.97203,33.61731,29.06389
42.70658,49.5749,38.58606,31.86973
4478,4621,4609,4492
.0109087,.0227093,.0385856,.0352202
.0187236,.0211121,.0252543,.0280902
.0006827,8.63e-06,-.0014671,-.0014336
.0013979,.0016024,.0019302,.0021399
.5109384,.9188505,.0025775,.200328
.6426479,.8441411,.3569113,.2155922
37.38912,44.01071,32.891,25.88478
46.1774,51.7548,37.88765,29.09023
4478,4621,4609,4492
-.0038098,-.0042111,-.0040784,-.0046365
.0024537,.0028349,.0034896,.0037008
.0003853,.00038,.0003213,.0003636
.0001809,.0002097,.0002593,.000275
.6703056,.5527042,.0032725,.0813889
.6157581,.0818275,.3049124,.6100149
35.91492,41.22461,30.32517,24.26289
43.18635,47.91345,35.4861,27.88211
4478,4621,4609,4492
-.005237,-.0118646,.0034286,-.0188358
.0241258,.0282407,.0338708,.036855
-.0002885,.0004942,-.0007995,.0011139
.0019073,.0022267,.0027058,.0029463
.940973,.5077468,.0098679,.2889814
.0408561,.0443944,.4229521,.1679723
25.26769,28.10043,20.93747,18.26085
26.75391,29.83255,21.81082,17.44053
4478,4621,4609,4492
