donate_ssmat1,donate_ssmat2,donate_ssmat3,donate_ssmat4,donate_ssmat5,donate_ssmat6,donate_ssmat7,donate_ssmat8
.0205231,,.0203312,,.0166876,,.0203883,
.0043528,,.0034797,,.0028128,,.0026998,
,.0137947,,.0265076,,.0647549,,.0515414
,.0254097,,.0196732,,.0193849,,.0204402
,.0070701,,.0264102,,.0632886,,.0421586
,.0255555,,.019777,,.0191849,,.0190163
,.0115306,,.0119754,,.0648755,,.0507823
,.0219208,,.0175091,,.0163479,,.0169729
,.0047601,,.0244851,,.0676322,,.0440317
,.0258632,,.0194885,,.0189487,,.0190995
,.0044093,,.0226603,,.073173,,.0459987
,.024852,,.0191328,,.0193202,,.0199433
,.0097394,,.0324036,,.0735193,,.0559824
,.0256676,,.0199691,,.0199338,,.0205177
,.0224088,,.0333467,,.0654557,,.0415005
,.0249536,,.0193962,,.0193182,,.0197252
