donateamt_fsmat1,donateamt_fsmat2,donateamt_fsmat3,donateamt_fsmat4
.4269805,.4840603,.3549348,.2839445
.2388875,.2748769,.3319021,.3615979
-.0252498,-.0273393,-.0151421,-.0140342
.0177334,.0204509,.024804,.0270337
.9606608,.50261,.0016791,.0207931
.4448987,.3005086,.0344778,.6846725
35.4969,42.60352,30.84594,24.1192
42.59666,47.85078,36.43164,28.06379
4439,4586,4584,4468
.6540704,.4654813,.5498207,.7537339
.2753918,.3147237,.3813351,.4162863
-.0412937,-.0244892,-.0251086,-.0366679
.0205179,.0234878,.0285968,.0312015
.7099038,.5707118,.0011295,.0302443
.701198,.2956406,.1771772,.1744791
38.17219,42.77943,33.34776,29.19966
43.53889,47.86513,37.75062,31.32139
4439,4586,4584,4468
.0946709,.1004438,.1269453,.1195504
.014394,.0162413,.0197607,.0213803
-.0059797,-.0064554,-.0081516,-.0076825
.0010432,.0011831,.001451,.0015622
.9182852,.2751167,.0003687,.0225442
.7166166,.4992846,.4987189,.4407171
52.37264,56.25781,48.06876,37.98386
57.90662,60.4492,50.85971,39.29911
4439,4586,4584,4468
-.0875226,-.1714856,-.2142623,-.2777835
.0956764,.1083428,.1306887,.1428499
.0025981,.0074205,.0086776,.0120811
.0071228,.0081183,.009826,.0107942
.9063872,.6585682,.0003037,.0514571
.6582505,.8007261,.9553027,.2535882
35.78759,42.35958,33.45109,29.04755
42.68446,48.78847,38.41034,31.83984
4439,4586,4584,4468
.010447,.0225301,.0402949,.0333088
.0187585,.0211483,.025275,.0281817
.0007065,-6.86e-06,-.0016567,-.0013133
.0014002,.0016048,.0019334,.002146
.7016149,.4351091,.0003442,.0434985
.5662077,.3660596,.7672333,.0489878
37.23746,43.26099,32.6781,25.89389
46.0848,50.80761,37.64156,29.1558
4439,4586,4584,4468
-.0038093,-.0045202,-.0037938,-.0043139
.0024663,.0028463,.0035061,.0037153
.0003737,.0004055,.0003003,.0003407
.0001819,.0002106,.0002609,.000276
.9536633,.7484869,.0003214,.0135976
.620869,.4403595,.5685698,.6941478
35.57189,40.84903,30.11826,24.33247
42.88108,47.32286,35.29689,27.98723
4439,4586,4584,4468
-.0055963,-.0113818,-.0016991,-.0233624
.0242266,.0282912,.0339638,.0370566
-.0002409,.0004461,-.0003993,.001458
.0019163,.0022299,.002713,.0029596
.8590829,.7875618,.0009257,.0766276
.0753203,.031411,.1359933,.1027047
25.23028,27.91276,21.23726,19.07078
26.7619,29.46249,21.80268,17.65404
4439,4586,4584,4468
