volfreqmod_fsmat1,volfreqmod_fsmat2,volfreqmod_fsmat3,volfreqmod_fsmat4
.452759,.4023584,.3060383,.2736793
.2384176,.2747891,.3359796,.3655294
-.0270824,-.0216762,-.0113761,-.0128917
.0176909,.0204496,.0250632,.0272827
.1837938,.0286821,.0418318,.7182503
.4436654,.5562802,.7613826,.0779256
34.67829,39.31683,33.87712,22.50728
41.4842,47.26168,37.73818,26.19225
4442,4605,4551,4416
.7097582,.5238018,.3335278,.6977521
.2750669,.3160979,.3855198,.4208734
-.0453557,-.0294305,-.008499,-.0326019
.0204833,.0235861,.028874,.0314976
.1459874,.0099271,.0662133,.8523183
.5639976,.2419971,.084344,.1499012
37.52941,41.95999,34.83207,26.60928
42.62608,47.67851,38.87318,29.16653
4442,4605,4551,4416
.100677,.1046506,.1130364,.1232167
.014339,.0161396,.0203038,.0217639
-.0064323,-.0067405,-.007111,-.0080525
.0010353,.0011777,.0014871,.0015876
.102618,.0121042,.0204098,.2015345
.0597798,.861848,.6970072,.7287955
53.01234,57.8674,46.65487,35.59938
58.33581,61.69528,48.87881,37.3263
4442,4605,4551,4416
-.1169449,-.1749049,-.1559413,-.3046987
.0951099,.1080613,.13217,.1439151
.0050847,.0077007,.0038966,.0141854
.0070852,.0080939,.0099322,.0108605
.04715,.0116977,.02302,.1531077
.1140925,.7241966,.6877519,.1651242
34.71011,41.63167,35.47598,27.20567
41.35717,48.61149,39.74435,30.0537
4442,4605,4551,4416
.012091,.022189,.0263985,.0441798
.0188472,.0211932,.0255787,.0286218
.0005551,8.78e-09,-.0006776,-.0020737
.0014088,.0016069,.0019525,.0021756
.4934123,.0836993,.0415157,.7849076
.0057657,.1155381,.3985121,.216248
36.10296,42.00071,34.14863,24.81779
44.60327,50.48692,38.37594,27.65228
4442,4605,4551,4416
-.0036208,-.0039237,-.0029084,-.0053749
.0024613,.0028351,.0034936,.0037607
.0003693,.0003669,.0002383,.0004226
.0001815,.0002097,.0002594,.0002794
.1500677,.013509,.0196849,.3581898
.1696247,.1529191,.0483776,.0214014
34.63354,39.58287,32.07259,22.82306
41.75653,46.96463,36.51802,26.35557
4442,4605,4551,4416
-.0128771,.0046167,-.0114398,-.0149855
.0241828,.0277739,.0346885,.0373258
.0002361,-.0008315,.0002815,.0008084
.0019086,.002207,.0027478,.0029675
.4070112,.0369747,.027465,.579103
.088334,.5077735,.7593973,.7009258
24.36815,28.03834,21.93366,16.31609
26.12904,29.36048,22.53073,16.21144
4442,4605,4551,4416
